Perioden;Regio's;Gezondheid en welzijn/Huisartsenpraktijk/Afstand tot huisartsenpraktijk (km);Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 1 km (aantal);Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 3 km (aantal);Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 5 km (aantal);Gezondheid en welzijn/Huisartsenpraktijk/Afstand tot huisartsenpost (km);Gezondheid en welzijn/Afstand tot apotheek (km);Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Afstand tot ziekenhuis (km);Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Afstand tot ziekenhuis (km);Gezondheid en welzijn/Afstand tot consultatiebureau (km);Gezondheid en welzijn/Fysiotherapeut/Afstand tot fysiotherapeut (km);Detailhandel/Winkels dagelijkse boodschappen/Afstand tot grote supermarkt (km);Detailhandel/Winkels dagelijkse boodschappen/Afstand tot ov. dagel. levensmiddelen (km);Detailhandel/Warenhuis/Afstand tot warenhuis (km);Horeca/Cafés en dergelijke/Afstand tot café e.d. (km);Horeca/Cafetaria's en dergelijke/Afstand tot cafetaria e.d. (km);Horeca/Restaurants/Afstand tot restaurant (km);Horeca/Hotels en dergelijke/Afstand tot hotel e.d. (km);Groenvoorzieningen/Openbaar groen/Afstand tot openbaar groen totaal (km);Groenvoorzieningen/Openbaar groen/Afstand tot park of plantsoen (km);Groenvoorzieningen/Openbaar groen/Afstand tot dagrecreatief terrein (km);Groenvoorzieningen/Openbaar groen/Afstand tot bos (km);Groenvoorzieningen/Openbaar groen/Afstand tot open natuurlijk terrein/Afstand tot open nat. terrein totaal (km);Groenvoorzieningen/Openbaar groen/Afstand tot open natuurlijk terrein/Afstand tot open droog nat. terrein (km);Groenvoorzieningen/Openbaar groen/Afstand tot open natuurlijk terrein/Afstand tot open nat natuurlijk terrein (km);Groenvoorzieningen/Semi-openbaar groen/Afstand tot semi-openbaar groen totaal (km);Groenvoorzieningen/Semi-openbaar groen/Afstand tot sportterrein (km);Groenvoorzieningen/Semi-openbaar groen/Afstand tot volkstuin (km);Groenvoorzieningen/Semi-openbaar groen/Afstand tot verblijfsrecreatief terrein (km);Groenvoorzieningen/Semi-openbaar groen/Afstand tot begraafplaats (km);Groenvoorzieningen/Afstand tot recreatief binnenwater (km);Vrije tijd en cultuur/Afstand tot bibliotheek (km);Vrije tijd en cultuur/Sport/Afstand tot zwembad (km);Vrije tijd en cultuur/Sport/Afstand tot kunstijsbaan (km);Vrije tijd en cultuur/Museum/Afstand tot museum (km);Vrije tijd en cultuur/Podiumkunsten (excl. festivals)/Afstand tot podiumkunsten totaal (km);Vrije tijd en cultuur/Podiumkunsten (excl. festivals)/Aantal podiumkunsten totaal/Binnen 5 km (aantal);Vrije tijd en cultuur/Podiumkunsten (excl. festivals)/Aantal podiumkunsten totaal/Binnen 10 km (aantal);Vrije tijd en cultuur/Podiumkunsten (excl. festivals)/Aantal podiumkunsten totaal/Binnen 20 km (aantal);Vrije tijd en cultuur/Podiumkunsten (excl. festivals)/Afstand tot poppodium (km);Vrije tijd en cultuur/Bioscoop/Afstand tot bioscoop (km);Vrije tijd en cultuur/Recreatie/Afstand tot sauna (km);Vrije tijd en cultuur/Recreatie/Afstand tot zonnebank (km);Vrije tijd en cultuur/Recreatie/Afstand tot attractie (km)
2018;Eijsden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Eijsden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Eijsden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;Eijsden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;Eijsden-Margraten;     1.1;     0.7;     2.0;     6.1;     6.9;     1.2;     6.7;     6.9;       .;       .;     1.2;     0.7;     6.4;     0.6;     0.9;     0.7;     1.7;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     2.8;     4.0;    22.4;     6.9;     7.4;     0.0;     2.5;     6.0;    10.0;     8.9;     9.9;     5.0;     5.0
2017;Eijsden-Margraten;     1.1;     0.7;     2.0;     6.1;       .;     1.2;     6.7;     6.9;       .;       .;     1.2;     0.7;     6.4;     0.6;     0.8;     0.6;     1.7;     0.8;     2.7;     3.8;     1.0;     4.4;     9.0;     5.1;     0.7;     0.8;     4.5;     2.4;     4.4;     4.7;     2.8;     4.0;    22.4;     6.9;     7.4;     0.0;     2.5;     5.9;    10.0;     8.9;     9.9;     5.0;     5.0
2018;Eijsden-Margraten;     1.1;     0.7;     1.9;     5.9;     6.9;     1.2;     6.7;     6.9;       .;       .;     1.2;     0.7;     6.5;     0.7;     0.8;     0.6;     1.7;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     2.7;     4.0;    22.6;     6.9;     7.4;     0.0;     2.5;     5.9;    10.0;     8.7;    10.0;     4.7;     5.0
2019;Eijsden-Margraten;     1.1;     0.7;     2.0;     6.1;     6.9;     1.2;     6.6;     6.9;       .;       .;     1.2;     0.7;     6.4;     0.6;     0.8;     0.6;     1.7;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     2.7;     4.0;    22.4;     6.9;     7.4;     0.0;     2.6;     5.9;    10.0;     8.8;     9.9;     4.6;     5.0
2020;Eijsden-Margraten;     1.0;     0.8;     1.8;     5.1;     6.9;     1.2;     6.7;     6.9;       .;       .;     1.2;     0.7;     6.4;     0.7;     0.8;     0.7;     2.1;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     2.7;     4.0;    22.4;     6.9;     7.4;     0.0;     2.6;     5.9;     9.9;     8.8;    10.6;     5.3;     5.0
2021;Eijsden-Margraten;     1.1;     0.8;     1.8;     5.1;     6.9;     1.5;     6.7;     6.9;       .;       .;     1.2;     0.8;     6.5;     0.7;     0.8;     0.7;     1.8;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     2.7;     4.0;    22.4;     6.9;     7.4;     0.1;     2.6;     5.9;    10.0;     9.6;    10.6;     4.8;     5.0
2016;Enschede;     0.8;     1.8;    14.0;    26.4;     3.2;     0.9;     3.0;     3.2;       .;       .;     0.7;     0.6;     1.9;     1.0;     0.7;     0.7;     2.3;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.5;     2.4;     7.2;     3.4;     3.1;     5.8;     8.1;    11.1;     3.2;     3.1;    11.0;     1.6;     3.0
2017;Enschede;     0.8;     1.8;    14.0;    26.4;       .;     0.9;     3.0;     3.2;       .;       .;     0.7;     0.6;     1.8;     1.0;     0.7;     0.7;     2.3;     0.4;     0.5;     3.1;     1.0;     2.5;     2.7;     3.1;     0.7;     0.8;     2.4;     3.6;     2.1;     3.0;     1.5;     2.4;     7.2;     3.4;     3.1;     5.8;     8.1;    11.1;     3.2;     3.1;    11.0;     1.6;     3.0
2018;Enschede;     0.8;     1.9;    14.5;    27.3;     3.1;     0.9;     3.0;     3.2;       .;       .;     0.7;     0.6;     1.9;     1.0;     0.7;     0.7;     2.0;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.5;     2.1;     7.2;     3.4;     3.1;     5.0;     7.1;    10.1;    10.2;     3.1;    11.0;     1.6;     3.5
2019;Enschede;     0.8;     1.9;    14.1;    26.5;     3.1;     0.9;     3.1;     3.1;       .;       .;     0.7;     0.6;     1.9;     1.0;     0.7;     0.6;     2.0;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.5;     2.8;     6.8;     3.4;     3.1;     5.0;     7.4;    11.0;    10.2;     3.1;    10.9;     1.6;     3.4
2020;Enschede;     0.8;     1.6;    11.8;    22.7;     3.1;     0.9;     3.1;     3.1;       .;       .;     0.7;     0.6;     1.9;     1.1;     0.7;     0.6;     2.0;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.5;     2.8;     6.8;     3.4;     3.1;     5.0;     7.4;    11.0;    10.2;     3.1;    10.9;     1.6;     3.0
2021;Enschede;     0.8;     1.5;    11.6;    22.4;     3.1;     0.9;     3.1;     3.1;       .;       .;     0.7;     0.6;     2.0;     1.0;     0.6;     0.6;     2.1;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.6;     2.8;     6.8;     3.4;     3.1;     5.0;     7.4;    11.0;    10.2;     3.1;    10.9;     1.6;     2.9
2016;Gennep;     1.3;     0.5;     1.6;     3.4;     7.9;     2.3;     7.9;     7.9;       .;       .;     1.0;     1.0;     2.1;     0.8;     0.6;     1.1;     2.1;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     2.1;     2.3;    21.9;     2.2;     9.0;     0.0;     0.8;     4.7;    20.1;    14.1;     5.6;    10.2;    12.0
2017;Gennep;     1.3;     0.5;     1.6;     3.4;       .;     2.3;     7.9;     7.9;       .;       .;     1.0;     1.0;     2.2;     0.8;     0.6;     1.1;     2.1;     0.6;     1.6;     5.4;     0.7;     1.5;     2.2;     2.1;     0.6;     0.7;     7.9;     1.9;     2.8;     2.2;     2.1;     2.3;    21.9;     2.2;     9.0;     0.0;     0.8;     4.7;    20.1;    14.1;     5.6;    10.2;    11.9
2018;Gennep;     1.3;     0.5;     1.6;     3.4;     7.9;     2.3;     7.9;     7.9;       .;       .;     1.0;     1.0;     2.1;     0.8;     0.6;     1.1;     2.1;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     2.2;     2.3;    21.9;     2.2;     9.0;     0.0;     0.8;     4.7;    20.1;    14.1;     5.6;    10.2;    11.9
2019;Gennep;     1.3;     0.5;     1.5;     3.4;     7.8;     2.2;     7.8;     7.8;       .;       .;     1.2;     1.0;     2.2;     0.8;     0.7;     1.1;     2.1;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     2.2;     2.3;    21.8;     2.2;     8.9;     0.0;     0.8;     4.7;    20.2;    14.1;     5.6;    12.1;    11.9
2020;Gennep;     1.3;     0.5;     1.5;     3.4;     7.8;     2.2;     7.8;     7.8;       .;       .;     1.2;     1.2;     2.2;     0.7;     0.8;     1.1;     2.1;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     2.2;     2.3;    21.8;     2.2;     8.9;     0.0;     0.8;     4.7;    20.2;     9.0;     5.6;     8.9;    11.1
2021;Gennep;     1.3;     0.5;     1.5;     3.4;     7.8;     2.1;     7.8;     7.8;       .;       .;     1.2;     1.2;     2.2;     0.7;     0.8;     0.9;     2.1;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     2.3;     2.4;    21.9;     2.2;     8.2;     0.0;     1.6;     5.4;    20.3;     9.0;     5.6;     8.9;    11.1
2016;Gulpen-Wittem;     1.8;     1.0;     2.3;     5.1;    10.0;     2.2;    10.0;    10.0;       .;       .;     1.6;     0.8;     3.3;     0.7;     1.0;     0.6;     0.9;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     3.3;     3.7;    21.9;     4.0;     9.9;     0.0;     0.8;     7.7;    12.6;    10.8;     9.2;     8.6;     8.5
2017;Gulpen-Wittem;     1.8;     1.0;     2.3;     5.1;       .;     2.2;    10.0;    10.0;       .;       .;     1.6;     0.8;     3.3;     0.8;     0.9;     0.6;     0.9;     0.9;     3.1;     4.4;     0.9;     5.9;     5.9;    11.2;     0.7;     0.9;    11.4;     1.6;     3.5;     9.7;     3.1;     3.7;    21.9;     4.0;     9.9;     0.0;     0.8;     6.8;    12.6;    10.5;     9.3;     8.6;     8.5
2018;Gulpen-Wittem;     1.8;     1.0;     2.3;     5.1;    10.0;     2.2;    10.0;    10.0;       .;       .;     1.6;     0.8;     3.3;     0.8;     0.9;     0.6;     1.1;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     3.1;     3.7;    21.9;     4.0;     9.9;     0.0;     0.8;     6.7;    12.6;    10.5;     9.4;     8.1;     8.5
2019;Gulpen-Wittem;     1.8;     1.0;     2.3;     5.1;    10.1;     2.2;    10.0;    10.1;       .;       .;     1.6;     0.8;     3.3;     0.8;     0.9;     0.6;     1.0;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     3.1;     3.7;    21.6;     4.0;     9.9;     0.0;     0.8;     6.7;    12.6;    10.8;     9.3;     8.0;     8.5
2020;Gulpen-Wittem;     1.8;     0.7;     1.8;     4.3;    10.0;     2.2;    10.0;    10.0;       .;       .;     1.6;     0.8;     3.3;     0.8;     0.9;     0.6;     1.3;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     3.1;     3.7;    21.6;     4.0;     9.8;     0.0;     0.8;     6.7;    12.6;    10.8;     9.6;     8.6;     8.4
2021;Gulpen-Wittem;     1.8;     0.7;     1.8;     4.2;    10.0;     2.3;    10.0;    10.0;       .;       .;     2.0;     0.8;     3.3;     0.9;     1.0;     0.6;     1.3;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     3.1;     3.6;    21.6;     4.0;     9.8;     0.0;     0.8;     6.7;    12.6;    10.8;     9.6;     8.0;     7.1
2016;Haaksbergen;     1.4;     0.7;     2.5;     2.8;    13.1;     1.6;     2.2;    13.1;       .;       .;     1.2;     0.9;     2.1;     1.4;     1.0;     1.0;     3.0;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.8;     3.0;    14.8;     2.0;    10.2;     0.0;     0.8;    12.1;    13.8;     2.1;    17.6;     2.2;    12.4
2017;Haaksbergen;     1.5;     0.7;     2.5;     2.8;       .;     1.6;     2.3;    13.1;       .;       .;     1.2;     0.8;     2.1;     1.5;     1.0;     1.0;     3.0;     0.5;     1.0;     5.5;     1.5;     2.6;     2.6;     3.1;     0.9;     1.1;    10.3;     2.3;     1.8;     2.3;     1.9;     3.1;    14.8;     2.0;    10.3;     0.0;     0.8;    12.1;    13.8;     2.1;    17.6;     2.2;    12.3
2018;Haaksbergen;     1.4;     0.7;     2.5;     2.8;     2.3;     1.6;     2.2;    13.1;       .;       .;     1.2;     0.8;     2.1;     1.5;     1.0;     1.0;     3.0;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     2.0;     3.0;    14.8;     2.0;    10.3;     0.0;     0.8;    11.1;    14.2;     2.1;    17.6;     2.2;    12.6
2019;Haaksbergen;     1.5;     0.7;     2.5;     2.8;     2.3;     1.6;     2.3;    13.0;       .;       .;     1.2;     0.9;     2.1;     1.5;     1.0;     1.0;     3.1;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     2.0;     3.0;    14.4;     2.0;    10.1;     0.0;     0.8;    11.0;    14.2;    13.6;    17.6;     2.2;    12.7
2020;Haaksbergen;     1.5;     0.7;     2.5;     2.8;     2.3;     1.6;     2.3;    13.1;       .;       .;     1.2;     0.9;     2.1;     1.5;     0.8;     1.0;     3.8;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     2.0;     3.0;    14.4;     2.0;    10.1;     0.0;     0.8;    11.0;    14.2;    13.6;    17.6;     2.2;    12.4
2021;Haaksbergen;     1.5;     0.7;     2.5;     2.8;     2.3;     1.6;     2.3;    13.1;       .;       .;     1.2;     0.9;     1.9;     1.5;     0.8;     1.0;     3.8;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     2.1;     3.0;    14.4;     2.1;    10.1;     0.0;     0.8;    11.0;    14.2;    13.6;    17.6;     2.2;    12.4
2016;Haelen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;Haelen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;Haelen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Haelen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Haelen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;Haelen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;Hardenberg;     1.5;     0.8;     2.8;     4.1;     8.8;     1.6;     5.5;     8.8;       .;       .;     1.3;     1.2;     4.1;     1.8;     1.2;     1.2;     4.7;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.7;     4.7;    46.5;     3.2;     7.9;     0.3;     0.6;     1.9;    21.0;     8.0;    13.6;     7.1;     6.2
2017;Hardenberg;     1.5;     0.8;     2.9;     4.1;       .;     1.6;     5.6;     8.8;       .;       .;     1.3;     1.3;     4.1;     1.8;     1.2;     1.2;     4.7;     0.6;     2.3;     3.4;     1.2;     3.6;     4.3;     4.6;     0.9;     1.2;     4.8;     2.4;     2.4;     3.3;     1.8;     4.7;    48.4;     3.2;     7.9;     0.4;     0.6;     2.0;    20.9;     8.0;    13.5;     7.1;     6.2
2018;Hardenberg;     1.5;     0.7;     2.5;     3.8;     7.3;     1.6;     5.5;     8.8;       .;       .;     1.4;     1.3;     4.1;     1.8;     1.1;     1.2;     4.4;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.8;     4.7;    48.4;     9.5;     7.8;     0.4;     0.6;     2.0;    20.9;     7.9;    13.5;     7.1;     6.0
2019;Hardenberg;     1.5;     0.7;     2.5;     3.7;     6.9;     1.6;     6.9;     8.3;       .;       .;     1.4;     1.4;     4.1;     1.8;     1.2;     1.2;     4.4;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.7;     4.7;    48.0;     9.3;     7.9;     0.4;     0.6;     2.1;    21.0;     8.0;    13.6;     7.1;     6.1
2020;Hardenberg;     1.5;     0.6;     1.8;     2.6;     6.8;     1.6;     6.8;     8.3;       .;       .;     1.4;     1.3;     4.1;     1.8;     1.1;     1.3;     3.8;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.7;     4.6;    48.0;     9.3;     7.9;     0.4;     0.6;     2.0;    21.1;     7.9;    13.6;     7.1;     5.9
2021;Hardenberg;     1.6;     0.5;     1.8;     2.5;     6.9;     1.8;     6.6;     8.3;       .;       .;     1.4;     1.3;     4.1;     1.8;     1.1;     1.5;     4.1;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.7;     4.6;    48.0;     9.3;     7.8;     0.4;     0.6;     2.0;    21.1;     7.9;    13.6;     7.1;     5.9
2016;Heel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;Heel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;Heel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Heel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Heel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;Heel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;Heerlen;     0.7;     1.7;     9.8;    21.0;     5.2;     0.9;     4.2;     5.2;       .;       .;     0.6;     0.6;     2.1;     0.5;     0.4;     0.7;     1.7;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.3;     3.4;    14.2;     2.0;     3.5;     1.5;     3.1;     7.1;     3.6;     3.3;     3.5;     1.6;     3.2
2017;Heerlen;     0.7;     1.7;     9.8;    21.1;       .;     0.9;     4.2;     5.2;       .;       .;     0.6;     0.6;     2.1;     0.6;     0.4;     0.7;     1.7;     0.3;     0.3;     2.8;     0.9;     2.1;     3.0;     2.5;     0.7;     0.8;     2.2;     2.6;     1.5;     1.7;     1.3;     3.4;    14.2;     2.0;     3.5;     1.5;     2.6;     6.1;     3.6;     3.3;     3.5;     1.6;     3.2
2018;Heerlen;     0.7;     1.7;     9.7;    20.3;     5.2;     0.9;     4.2;     5.2;       .;       .;     0.6;     0.6;     2.1;     0.6;     0.4;     0.7;     1.7;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.3;     3.4;    14.3;     2.1;     3.5;     1.5;     2.6;     6.0;     3.6;     3.3;     3.5;     1.6;     3.2
2019;Heerlen;     0.7;     1.8;     9.9;    20.5;     5.2;     0.9;     3.7;     5.2;       .;       .;     0.6;     0.6;     2.1;     0.5;     0.4;     0.7;     1.7;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.3;     3.4;    14.1;     2.1;     3.4;     1.5;     2.6;     6.1;     3.6;     3.2;     3.5;     1.5;     3.1
2020;Heerlen;     0.8;     1.5;     8.4;    17.6;     5.2;     0.9;     3.7;     5.2;       .;       .;     0.7;     0.6;     2.0;     0.5;     0.4;     0.7;     1.6;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.3;     3.4;    14.1;     2.1;     3.4;     1.5;     2.6;     6.0;     3.6;     3.2;     3.5;     1.5;     3.1
2021;Heerlen;     0.8;     1.4;     7.9;    17.0;     5.2;     1.0;     3.7;     5.2;       .;       .;     0.6;     0.6;     2.0;     0.6;     0.4;     0.7;     1.6;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.3;     3.4;    14.1;     2.1;     3.4;     1.5;     2.6;     6.0;     3.6;     3.2;     5.0;     1.5;     3.0
2016;Helden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;Helden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;Helden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Helden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Helden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;Helden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;Hellendoorn;     1.1;     1.0;     2.7;     5.0;    13.7;     1.2;     2.9;    15.3;       .;       .;     1.0;     1.1;     2.7;     1.6;     1.1;     0.7;     2.5;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.5;     3.4;    25.8;     2.4;     3.0;     1.7;     2.5;     6.3;    27.1;     3.3;     3.6;     3.5;     3.2
2017;Hellendoorn;     1.2;     1.0;     2.7;     5.0;       .;     1.2;     2.9;    15.3;       .;       .;     1.0;     1.2;     2.7;     1.6;     1.1;     0.8;     2.5;     0.4;     1.0;     5.0;     0.8;     1.5;     1.7;     2.4;     0.9;     1.0;     3.1;     2.0;     2.4;     9.6;     1.5;     3.4;    25.8;     2.4;     3.0;     1.7;     2.5;     6.3;    27.1;     3.3;     3.6;     3.5;     3.2
2018;Hellendoorn;     1.3;     0.9;     2.3;     4.2;    13.7;     1.2;     2.9;    15.3;       .;       .;     1.0;     1.2;     2.8;     1.6;     1.1;     0.8;     2.3;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.5;     3.4;    25.8;     2.4;     3.0;     1.7;     2.5;     6.3;    27.1;     3.3;     3.6;     3.5;     3.2
2019;Hellendoorn;     1.3;     0.9;     2.3;     4.2;    13.7;     1.2;     9.6;    15.3;       .;       .;     1.0;     1.2;     2.8;     1.6;     1.1;     0.8;     2.3;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.7;     3.4;    25.8;     2.4;     3.0;     1.7;     2.5;     6.3;    27.0;    15.0;     3.7;     3.5;     3.2
2020;Hellendoorn;     1.3;     0.7;     1.7;     3.4;    13.7;     1.2;     9.6;    15.3;       .;       .;     1.0;     1.1;     2.7;     1.6;     1.1;     0.8;     2.1;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.7;     3.4;    25.8;     2.4;     3.0;     1.7;     2.5;     6.3;    27.0;    15.0;    17.3;     3.6;     3.3
2021;Hellendoorn;     1.3;     0.7;     1.6;     3.4;    13.8;     1.2;     9.6;    15.4;       .;       .;     1.0;     1.1;     2.8;     1.6;     0.8;     0.7;     3.6;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.8;     3.4;    25.9;     2.4;     3.1;     1.6;     2.5;     6.3;    27.1;    15.0;    17.4;     2.4;     3.3
2016;Hengelo (O.);     0.9;     1.3;     8.9;    16.1;     3.8;     0.9;     3.8;     3.8;       .;       .;     0.7;     0.6;     1.8;     1.0;     0.6;     0.7;     1.8;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.7;     3.1;     7.4;     2.5;     2.7;     1.7;     6.9;    14.0;     3.0;     2.7;     3.4;     1.8;     3.2
2017;Hengelo (O.);     0.9;     1.3;     8.7;    16.1;       .;     0.9;     3.8;     3.8;       .;       .;     0.7;     0.6;     1.8;     1.4;     0.6;     0.7;     1.9;     0.6;     0.7;     3.1;     1.2;     3.2;     3.9;     3.4;     0.8;     0.8;     1.8;     3.7;     2.1;     2.4;     1.8;     3.1;     7.4;     2.5;     2.8;     1.7;     6.8;    14.0;     3.0;     2.7;     3.4;     1.8;     3.2
2018;Hengelo (O.);     0.9;     1.3;     8.7;    16.2;     3.8;     0.9;     3.8;     3.8;       .;       .;     0.7;     0.6;     1.8;     1.4;     0.6;     0.7;     1.9;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.8;     3.1;     7.4;     2.5;     2.8;     1.7;     6.3;    13.0;     3.0;     2.7;     3.5;     1.8;     3.3
2019;Hengelo (O.);     0.9;     1.3;     8.8;    16.4;     3.7;     0.9;     3.7;     3.7;       .;       .;     0.7;     0.7;     1.8;     1.4;     0.7;     0.7;     1.8;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.9;     3.1;     7.1;     2.5;     2.7;     1.7;     6.2;    14.0;     3.0;     2.7;     3.4;     1.8;     3.3
2020;Hengelo (O.);     0.9;     1.3;     8.7;    16.4;     3.7;     0.9;     3.7;     3.7;       .;       .;     0.7;     0.6;     1.8;     1.4;     0.7;     0.7;     1.9;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.9;     3.1;     7.1;     2.5;     2.7;     1.7;     6.2;    14.0;     3.0;     2.7;     3.4;     2.3;     3.2
2021;Hengelo (O.);     0.9;     1.3;     8.1;    15.5;     3.7;     1.0;     3.7;     3.7;       .;       .;     0.7;     0.7;     1.9;     1.4;     0.6;     0.8;     1.8;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.9;     3.1;     7.1;     2.5;     2.7;     1.7;     6.1;    14.0;     3.0;     2.7;     3.4;     2.3;     3.2
2016;Heythuysen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;Heythuysen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;Heythuysen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Heythuysen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Heythuysen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;Heythuysen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
